===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 65536
L1_ASSOC:		 2
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	665:		8007 D  800a D  
Set 	666:		8007 D  800a D  
Set 	667:		800a D  8007 D  
Set 	668:		800a D  8007 D  
Set 	669:		800a D  8007 D  
Set 	670:		800a D  8007 D  
Set 	671:		800a D  8006 D  
Set 	672:		800a D  8007 D  
Set 	673:		8007 D  800a D  
Set 	674:		800a D  8007 D  
Set 	675:		800a D  8007 D  
Set 	676:		800a D  8007 D  
Set 	677:		800a D  8007 D  
Set 	678:		800a D  8007 D  
Set 	679:		800a D  8007 D  
Set 	680:		8006    800a D  
Set 	681:		800a D  8006    
Set 	682:		800a D  8006    
Set 	683:		800a D  8006    
Set 	684:		8006    800a D  
Set 	685:		8007 D  800a D  
Set 	686:		800a D  8007 D  
Set 	687:		800a D  8007 D  
Set 	688:		800a D  8006    
Set 	689:		800a D  8007 D  
Set 	690:		800a D  8007 D  
Set 	691:		800a D  8007 D  
Set 	692:		800a D  8007 D  
Set 	693:		800a D  8007 D  
Set 	694:		800a D  8007 D  
Set 	695:		800a D  8007 D  
Set 	696:		800a D  8007 D  
Set 	697:		800a D  8007 D  
Set 	698:		800a D  8006 D  
Set 	699:		800a D  8006 D  
Set 	700:		800a D  8006    
Set 	701:		8006 D  800a D  
Set 	702:		8007 D  800a D  
Set 	703:		8007 D  800a D  
Set 	704:		8007 D  800a D  
Set 	705:		8007 D  800a D  
Set 	706:		8007 D  800a D  
Set 	707:		800a D  8006 D  
Set 	708:		8006 D  800a D  
Set 	709:		800a D  8007 D  
Set 	710:		800a D  8006 D  
Set 	711:		8006    800a D  
Set 	712:		800a D  8007 D  
Set 	713:		800a D  8007 D  
Set 	714:		800a D  8007 D  
Set 	715:		800a D  8007 D  
Set 	716:		8007 D  800a D  
Set 	717:		8007 D  800a D  
Set 	718:		8007 D  800a D  
Set 	719:		800a D  8007 D  
Set 	720:		8007 D  800a D  
Set 	721:		8007 D  800a D  
Set 	722:		8007 D  800a D  
Set 	723:		8007 D  800a D  
Set 	724:		800a D  8006 D  
Set 	725:		8006 D  800a D  
Set 	726:		800a D  8006 D  
Set 	727:		800a D  8007 D  
Set 	728:		8007 D  800a D  
Set 	729:		8007 D  800a D  
Set 	730:		8007 D  800a D  
Set 	731:		8007 D  800a D  
Set 	732:		800a D  8006 D  
Set 	733:		8007 D  800a D  
Set 	734:		800a D  8006 D  
Set 	735:		8006 D  800a D  
Set 	736:		8007 D  800a D  
Set 	737:		800a D  8006 D  
Set 	738:		8007 D  800a D  
Set 	739:		8007 D  800a D  
Set 	740:		8007 D  800a D  
Set 	741:		8007 D  800a D  
Set 	742:		8007 D  800a D  
Set 	743:		8007 D  800a D  
Set 	744:		8007 D  800a D  
Set 	745:		8007 D  800a D  
Set 	746:		8006 D  800a D  
Set 	747:		800a D  8007 D  
Set 	748:		8007 D  800a D  
Set 	749:		8007 D  800a D  
Set 	750:		8007 D  800a D  
Set 	751:		8007 D  800a D  
Set 	752:		800a D  8007 D  
Set 	753:		8007 D  800a D  
Set 	754:		8007 D  800a D  
Set 	755:		8007 D  800a D  
Set 	756:		8007 D  800a D  
Set 	757:		800a D  8007 D  
Set 	758:		800a D  8007 D  
Set 	759:		8006 D  800a D  
Set 	760:		8007 D  800a D  
Set 	761:		8007 D  800a D  
Set 	762:		8007 D  800a D  
Set 	763:		8007 D  800a D  
Set 	764:		800a D  8006 D  
Set 	765:		8006 D  800a D  
Set 	766:		800a D  8007 D  
Set 	767:		800a D  8007 D  
Set 	768:		8007 D  800a D  
Set 	769:		800a D  8007 D  
Set 	770:		800a D  8007 D  
Set 	771:		8006 D  800a D  
Set 	772:		800a D  8007 D  
Set 	773:		800a D  8007 D  
Set 	774:		800a D  8007 D  
Set 	775:		800a D  8007 D  
Set 	776:		800a D  8007 D  
Set 	777:		800a D  8007 D  
Set 	778:		800a D  8007 D  
Set 	779:		800a D  8007 D  
Set 	780:		800a D  8007 D  
Set 	781:		800a D  8007 D  
Set 	782:		800a D  8007 D  
Set 	783:		800a D  8007 D  
Set 	784:		800a D  8007 D  
Set 	785:		800a D  8007 D  
Set 	786:		800a D  8007 D  
Set 	787:		800a D  8007 D  
Set 	788:		800a D  8007 D  
Set 	789:		8009 D  8007 D  
Set 	790:		8009 D  8007 D  
