===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 131072
L1_ASSOC:		 8
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	308:		10013 D  1000f D  0    0    0    0    0    0    
Set 	309:		10010 D  10013 D  1000c D  0    0    0    0    0    
Set 	310:		10013 D  0    0    0    0    0    0    0    
Set 	311:		10000    37e    10011 D  10013 D  0    0    0    0    
Set 	312:		10011 D  10013 D  0    0    0    0    0    0    
Set 	313:		10013 D  1000c D  0    0    0    0    0    0    
Set 	314:		10013 D  0    0    0    0    0    0    0    
Set 	315:		10013 D  0    0    0    0    0    0    0    
Set 	316:		1000a D  10013 D  1000c D  0    0    0    0    0    
Set 	317:		10013 D  1000d D  0    0    0    0    0    0    
Set 	318:		1004d    10000    1000a    10013 D  1000d D  0    0    0    
Set 	319:		10013 D  1000e D  0    0    0    0    0    0    
Set 	320:		1004d D  1000a D  10013 D  1000f D  0    0    0    0    
Set 	321:		10013 D  1000f D  1000d D  0    0    0    0    0    
Set 	322:		10000    10013 D  0    0    0    0    0    0    
Set 	323:		10013 D  0    0    0    0    0    0    0    
Set 	324:		10010    10013 D  0    0    0    0    0    0    
Set 	325:		10013 D  0    0    0    0    0    0    0    
Set 	326:		10013 D  0    0    0    0    0    0    0    
Set 	327:		10013 D  0    0    0    0    0    0    0    
Set 	328:		10013 D  0    0    0    0    0    0    0    
Set 	329:		10013 D  0    0    0    0    0    0    0    
Set 	330:		10013 D  1000c D  10010 D  0    0    0    0    0    
Set 	331:		10013 D  1000c D  10010 D  0    0    0    0    0    
Set 	332:		10000    10013 D  1000c D  10010 D  1000f D  0    0    0    
Set 	333:		37e    10013 D  10010 D  0    0    0    0    0    
Set 	334:		10013 D  1000c D  10010 D  0    0    0    0    0    
Set 	335:		10013 D  10010 D  0    0    0    0    0    0    
Set 	336:		10013 D  10010 D  0    0    0    0    0    0    
Set 	337:		10013 D  10010 D  0    0    0    0    0    0    
Set 	338:		10013 D  10010 D  0    0    0    0    0    0    
Set 	339:		10013 D  1000c D  10010 D  0    0    0    0    0    
Set 	340:		10013 D  10010 D  0    0    0    0    0    0    
Set 	341:		10013 D  10010 D  0    0    0    0    0    0    
